Rank,Channel Info,Influence Score,Followers,Avg. Likes,Posts,60-Day Eng Rate,New Post Avg. Likes,Total Likes,Country Or Region,ImageURL
1,"
cristiano",92,485.2m,8.7m,3.4k,0.013,6.3m,29.1b,Spain,https://i.pinimg.com/736x/d6/b0/32/d6b0324abafb6d95b63e7b6dee1b2e31.jpg
2,kyliejenner,91,370.7m,8.2m,7.0k,0.014,5.0m,57.4b,United States,https://i.pinimg.com/736x/fe/ee/8f/feee8f2572a700c690859581abde5938.jpg
3,"
leomessi",90,363.9m,6.7m,915,0.01,3.5m,6.1b,Argentina,https://i.pinimg.com/736x/70/b7/9a/70b79aad49da741bae24581edd365a42.jpg
4,"
selenagomez",93,348.8m,6.1m,1.9k,0.005,1.7m,11.4b,United States,https://i.pinimg.com/736x/45/96/0c/45960c807da1914d372e9a2d33d06f3d.jpg
5,"
therock",91,339.4m,1.8m,6.8k,0.003,932.0k,12.6b,United States,https://i.pinimg.com/236x/a8/73/f3/a873f3f357e4fe348fb8100ce31d62be.jpg
6,"
arianagrande",92,333.0m,3.7m,5.0k,0.009,3.1m,18.5b,United States,https://i.pinimg.com/736x/82/73/70/827370c033b33e9855dcae6b5352805b.jpg
7,"
kimkardashian",91,330.7m,3.5m,5.7k,0.005,1.7m,19.8b,United States,https://i.pinimg.com/236x/5a/3d/b1/5a3db1b9c521fda7eb061a51c70a38e9.jpg
8,"
beyonce",92,276.1m,3.6m,2.0k,0.008,2.2m,7.3b,United States,https://i.pinimg.com/736x/07/11/ca/0711ca5680145bd5dcfe7fc98cb2bebe.jpg
9,"
khloekardashian",89,273.9m,2.4m,4.1k,0.002,404.7k,9.8b,United States,https://i.pinimg.com/736x/bf/54/19/bf54192a1405d9eb4f8c8dd976fcd706.jpg
10,"
justinbieber",91,260.0m,1.9m,7.4k,0.007,1.7m,14.0b,Canada,https://i.pinimg.com/736x/19/78/ae/1978aee2a9c55f60bd3d52d0fd3e11bb.jpg
11,"
kendalljenner",90,258.9m,5.5m,671,0.012,3.0m,3.7b,United States,https://i.pinimg.com/736x/e4/49/65/e449653777c9da3a35a060032e3a171f.jpg
12,"
natgeo",91,241.1m,298.9k,10.0k,0.001,168.7k,3.0b,United States,https://i.pinimg.com/736x/e0/13/55/e0135548693863cf82825724765fef27.jpg
13,"
nike",90,239.2m,316.0k,973,0.001,193.6k,307.5m,United States,https://i.pinimg.com/280x280_RS/5f/4f/9e/5f4f9e2ed079e6692451f9d20f6806a1.jpg
14,"
taylorswift",91,226.1m,2.4m,542,0.015,3.3m,1.3b,United States,https://i.pinimg.com/736x/23/2c/50/232c501787949a013c811e2a0db66868.jpg
15,"
jlo",89,223.1m,1.7m,3.2k,0.005,1.2m,5.3b,United States,https://i.pinimg.com/736x/20/10/8f/20108f2de9750c8860fb349bb9ab58b8.jpg
16,"
virat.kohli",87,215.9m,3.5m,1.4k,0.013,2.7m,5.0b,India,https://i.pinimg.com/736x/f5/c0/aa/f5c0aa9e259497afaba0785e2354b89f.jpg
17,"
nickiminaj",90,202.7m,2.0m,6.4k,0.004,837.1k,12.9b,United States,https://i.pinimg.com/736x/88/73/a0/8873a04ba46149556c70c43410bf2da1.jpg
18,"
kourtneykardash",89,199.4m,1.8m,4.4k,0.007,1.3m,7.8b,United States,https://i.pinimg.com/736x/89/c2/de/89c2decbd9185ddfaba24e3b024e860f.jpg
19,"
mileycyrus",89,183.6m,1.3m,1.2k,0.004,702.4k,1.6b,United States,https://i.pinimg.com/736x/a0/6b/79/a06b79f09fe3a5c697cd6169e349ca70.jpg
20,"
neymarjr",90,179.4m,2.7m,5.3k,0.012,2.2m,14.4b,Brazil,https://i.pinimg.com/736x/36/43/01/364301f6819d1d4dcce5bc7f18db746f.jpg
21,"
katyperry",92,173.3m,714.8k,2.1k,0.002,302.9k,1.5b,United States,https://i.pinimg.com/736x/54/d7/ee/54d7ee9a9546247b74a06efca8fc0796.jpg
22,"
kevinhartreal",88,154.2m,498.0k,8.3k,0.001,137.6k,4.1b,United States,https://i.pinimg.com/736x/ce/d6/ad/ced6adf7561ff995accebc27140461bc.jpg
23,"
zendaya",87,153.3m,5.9m,3.5k,0.049,7.5m,20.8b,United States,https://i.pinimg.com/736x/5d/15/9b/5d159b38f2c4bcecdfd6970f7ef9d62c.jpg
24,"
iamcardib",75,141.3m,3.1m,1.6k,0.015,2.0m,5.0b,United States,https://i.pinimg.com/736x/5f/bb/e0/5fbbe04d0a8dc48dfa72b7f9a42b4a78.jpg
